,url_list
0,https://www.rentcollegepads.com/city/columbus-oh/listings/iuka-park-commons-16250
1,https://www.rentcollegepads.com/city/columbus-oh/listings/norwich-flats-20568
2,https://www.rentcollegepads.com/city/columbus-oh/listings/the-griff-18004
3,https://www.rentcollegepads.com/city/columbus-oh/listings/wilson-place-49765
4,https://www.rentcollegepads.com/city/columbus-oh/listings/the-commons-at-olentangy-15897
5,https://www.rentcollegepads.com/city/columbus-oh/listings/uncommon-columbus-37832
6,https://www.rentcollegepads.com/city/columbus-oh/listings/62-e-13th-ave-37083
7,https://www.rentcollegepads.com/city/columbus-oh/listings/the-doric-on-lane-20567
8,https://www.rentcollegepads.com/city/columbus-oh/listings/65-e-18th-ave-19178
9,https://www.rentcollegepads.com/city/columbus-oh/listings/the-summit-51728
10,https://www.rentcollegepads.com/city/columbus-oh/listings/harvard-square-apartments-15577
11,https://www.rentcollegepads.com/city/columbus-oh/listings/90-e-14th-ave-16061
12,https://www.rentcollegepads.com/city/columbus-oh/listings/80-e-14th-ave-50247
13,https://www.rentcollegepads.com/city/columbus-oh/listings/404-406-king-ave-31722
14,https://www.rentcollegepads.com/city/columbus-oh/listings/1433-highland-st-43357
15,https://www.rentcollegepads.com/city/columbus-oh/listings/2217-neil-ave-32235
16,https://www.rentcollegepads.com/city/columbus-oh/listings/122-128-w-9th-ave-49647
17,https://www.rentcollegepads.com/city/columbus-oh/listings/2252-neil-ave-31961
18,https://www.rentcollegepads.com/city/columbus-oh/listings/79-e-7th-ave-32635
19,https://www.rentcollegepads.com/city/columbus-oh/listings/52-e-17th-ave-52355
20,https://www.rentcollegepads.com/city/columbus-oh/listings/237-e-11th-ave-32495
21,https://www.rentcollegepads.com/city/columbus-oh/listings/99-chittenden-ave-49658
22,https://www.rentcollegepads.com/city/columbus-oh/listings/the-point-on-lane-49766
23,https://www.rentcollegepads.com/city/columbus-oh/listings/1689-n-4th-st-16357
24,https://www.rentcollegepads.com/city/columbus-oh/listings/301-e-17th-ave-32577
25,https://www.rentcollegepads.com/city/columbus-oh/listings/116-e-12th-ave-47669
26,https://www.rentcollegepads.com/city/columbus-oh/listings/333-e-12th-ave-50242
27,https://www.rentcollegepads.com/city/columbus-oh/listings/194-e-14th-ave-31931
28,https://www.rentcollegepads.com/city/columbus-oh/listings/161-e-13th-avenue-69805
29,https://www.rentcollegepads.com/city/columbus-oh/listings/111-e-woodruff-ave-32383
30,https://www.rentcollegepads.com/city/columbus-oh/listings/104-w-northwood-ave-32244
31,https://www.rentcollegepads.com/city/columbus-oh/listings/117-e-hudson-69817
32,https://www.rentcollegepads.com/city/columbus-oh/listings/66-e-norwich-ave-31677
33,https://www.rentcollegepads.com/city/columbus-oh/listings/151-chittenden-ave-32530
34,https://www.rentcollegepads.com/city/columbus-oh/listings/1516-summit-st-32671
35,https://www.rentcollegepads.com/city/columbus-oh/listings/4-e-norwich-ave-33967
36,https://www.rentcollegepads.com/city/columbus-oh/listings/325-e-19th-ave-47030
37,https://www.rentcollegepads.com/city/columbus-oh/listings/245-w-norwich-ave-16281
38,https://www.rentcollegepads.com/city/columbus-oh/listings/121-123-w-2nd-avenue-54652
39,https://www.rentcollegepads.com/city/columbus-oh/listings/220-e-lane-ave-31715
40,https://www.rentcollegepads.com/city/columbus-oh/listings/86-chittenden-ave-32421
41,https://www.rentcollegepads.com/city/columbus-oh/listings/1995-waldeck-ave-32568
42,https://www.rentcollegepads.com/city/columbus-oh/listings/55-57-w-9th-ave-columbus-oh-43201-47596
43,https://www.rentcollegepads.com/city/columbus-oh/listings/72-74-w-patterson-ave-16180
44,https://www.rentcollegepads.com/city/columbus-oh/listings/1707-summit-st-16182
45,https://www.rentcollegepads.com/city/columbus-oh/listings/199-e-14th-ave-50236
46,https://www.rentcollegepads.com/city/columbus-oh/listings/314-e-19th-ave-16437
47,https://www.rentcollegepads.com/city/columbus-oh/listings/69-e-frambes-ave-51523
48,https://www.rentcollegepads.com/city/columbus-oh/listings/1433-worthington-st-47567
49,https://www.rentcollegepads.com/city/columbus-oh/listings/182-buttles-avenue-62284
50,https://www.rentcollegepads.com/city/columbus-oh/listings/113-e-woodruff-ave-32372
51,https://www.rentcollegepads.com/city/columbus-oh/listings/109-e-woodruff-ave-32545
52,https://www.rentcollegepads.com/city/columbus-oh/listings/33-e.13th-ave-apt-5-31741
53,https://www.rentcollegepads.com/city/columbus-oh/listings/1369-summit-st-32693
54,https://www.rentcollegepads.com/city/columbus-oh/listings/32-38-w.-patterson-av-31750
55,https://www.rentcollegepads.com/city/columbus-oh/listings/90-e-12th-ave-32454
56,https://www.rentcollegepads.com/city/columbus-oh/listings/121-king-ave-50231
57,https://www.rentcollegepads.com/city/columbus-oh/listings/1966-n-4th-st-16453
58,https://www.rentcollegepads.com/city/columbus-oh/listings/130-e-woodruff-ave-16083
59,https://www.rentcollegepads.com/city/columbus-oh/listings/49-51-w-9th-ave-columbus-oh-43201-47595
60,https://www.rentcollegepads.com/city/columbus-oh/listings/125-w-blake-ave-16137
61,https://www.rentcollegepads.com/city/columbus-oh/listings/123-e-norwich-ave-16207
62,https://www.rentcollegepads.com/city/columbus-oh/listings/81-93-chittenden-ave-49644
63,https://www.rentcollegepads.com/city/columbus-oh/listings/50-e-11th-ave-32023
64,https://www.rentcollegepads.com/city/columbus-oh/listings/251-e-lane-ave-69796
65,https://www.rentcollegepads.com/city/columbus-oh/listings/405-e-15th-ave-32644
66,https://www.rentcollegepads.com/city/columbus-oh/listings/160-chittenden-ave-47636
67,https://www.rentcollegepads.com/city/columbus-oh/listings/686-neil-ave-69801
68,https://www.rentcollegepads.com/city/columbus-oh/listings/212-e-frambes-ave-50238
69,https://www.rentcollegepads.com/city/columbus-oh/listings/299-e-17th-ave-32474
70,https://www.rentcollegepads.com/city/columbus-oh/listings/1345-neil-ave-50233
71,https://www.rentcollegepads.com/city/columbus-oh/listings/1659-summit-st-43450
72,https://www.rentcollegepads.com/city/columbus-oh/listings/75-e-oakland-ave-16425
73,https://www.rentcollegepads.com/city/columbus-oh/listings/71-e-13th-ave-32425
74,https://www.rentcollegepads.com/city/columbus-oh/listings/431-433-e-15th-ave-16370
75,https://www.rentcollegepads.com/city/columbus-oh/listings/56-58-w-patterson-19187
76,https://www.rentcollegepads.com/city/columbus-oh/listings/1181-say-ave-32691
77,https://www.rentcollegepads.com/city/columbus-oh/listings/56-w-norwich-ave-32249
78,https://www.rentcollegepads.com/city/columbus-oh/listings/50-e-7th-ave-16146
79,https://www.rentcollegepads.com/city/columbus-oh/listings/95-e-norwich-ave-50289
80,https://www.rentcollegepads.com/city/columbus-oh/listings/194-e-11th-ave-32540
81,https://www.rentcollegepads.com/city/columbus-oh/listings/2157-2159-indianola-19181
82,https://www.rentcollegepads.com/city/columbus-oh/listings/328-e-17th-ave-32469
83,https://www.rentcollegepads.com/city/columbus-oh/listings/195-e-14th-ave-32514
84,https://www.rentcollegepads.com/city/columbus-oh/listings/88-chittenden-ave-32410
85,https://www.rentcollegepads.com/city/columbus-oh/listings/2091-summit-st-15776
86,https://www.rentcollegepads.com/city/columbus-oh/listings/21-23-w-9th-ave-columbus-oh-43201-47580
87,https://www.rentcollegepads.com/city/columbus-oh/listings/54-e-13th-ave-31732
88,https://www.rentcollegepads.com/city/columbus-oh/listings/67-mcmillen-ave-47600
89,https://www.rentcollegepads.com/city/columbus-oh/listings/68-70-chittenden-ave-49641
90,https://www.rentcollegepads.com/city/columbus-oh/listings/290-e-lane-ave-32277
91,https://www.rentcollegepads.com/city/columbus-oh/listings/1608-summit-st-47622
92,https://www.rentcollegepads.com/city/columbus-oh/listings/135-e-14th-ave-32539
93,https://www.rentcollegepads.com/city/columbus-oh/listings/1689-summit-st-16549
94,https://www.rentcollegepads.com/city/columbus-oh/listings/149-157-w.-10th-ave-columbus-oh-43201-47661
95,https://www.rentcollegepads.com/city/columbus-oh/listings/250-e-13th-ave-43395
96,https://www.rentcollegepads.com/city/columbus-oh/listings/109-chittenden-ave-47641
97,https://www.rentcollegepads.com/city/columbus-oh/listings/111-e-norwich-ave-50308
98,https://www.rentcollegepads.com/city/columbus-oh/listings/102-w-8th-ave-32394
99,https://www.rentcollegepads.com/city/columbus-oh/listings/1656-summit-st-32563
100,https://www.rentcollegepads.com/city/columbus-oh/listings/72.5-e.-14th-ave-47631
101,https://www.rentcollegepads.com/city/columbus-oh/listings/220-e-norwich-ave-32034
102,https://www.rentcollegepads.com/city/columbus-oh/listings/149-e-12th-ave-47656
103,https://www.rentcollegepads.com/city/columbus-oh/listings/141-e-12th-ave-16395
104,https://www.rentcollegepads.com/city/columbus-oh/listings/19-w-10th-ave-16240
105,https://www.rentcollegepads.com/city/columbus-oh/listings/1334-neil-ave-57190
106,https://www.rentcollegepads.com/city/columbus-oh/listings/181-w-norwich-ave-50285
107,https://www.rentcollegepads.com/city/columbus-oh/listings/2040-tuller-st-32501
108,https://www.rentcollegepads.com/city/columbus-oh/listings/153-e-12th-ave-16139
109,https://www.rentcollegepads.com/city/columbus-oh/listings/1554-highland-st-16165
110,https://www.rentcollegepads.com/city/columbus-oh/listings/54-e-18th-ave-47659
111,https://www.rentcollegepads.com/city/columbus-oh/listings/152-chittenden-ave-31726
112,https://www.rentcollegepads.com/city/columbus-oh/listings/2312-n-high-st-32388
113,https://www.rentcollegepads.com/city/columbus-oh/listings/the-wellington-35682
114,https://www.rentcollegepads.com/city/columbus-oh/listings/115-e-woodruff-ave-32536
115,https://www.rentcollegepads.com/city/columbus-oh/listings/the-view-on-pavey-square-49767
116,https://www.rentcollegepads.com/city/columbus-oh/listings/331-e.-18th-ave.-apt.-a-d-e-32450
117,https://www.rentcollegepads.com/city/columbus-oh/listings/1501-blemont-62290
118,https://www.rentcollegepads.com/city/columbus-oh/listings/214-e-norwich-ave-32067
119,https://www.rentcollegepads.com/city/columbus-oh/listings/2157-waldeck-ave-50309
120,https://www.rentcollegepads.com/city/columbus-oh/listings/96-e-woodruff-ave-32395
121,https://www.rentcollegepads.com/city/columbus-oh/listings/151-w-10th-ave-47660
122,https://www.rentcollegepads.com/city/columbus-oh/listings/2086-iuka-ave-16423
123,https://www.rentcollegepads.com/city/columbus-oh/listings/162-e-12th-ave-47616
124,https://www.rentcollegepads.com/city/columbus-oh/listings/165-e-tompkins-st-51563
125,https://www.rentcollegepads.com/city/columbus-oh/listings/1641-indianola-ave-32400
126,https://www.rentcollegepads.com/city/columbus-oh/listings/1522-indianola-ave-49645
127,https://www.rentcollegepads.com/city/columbus-oh/listings/77-mcmillen-ave-47603
128,https://www.rentcollegepads.com/city/columbus-oh/listings/1486-neil-ave-43452
129,https://www.rentcollegepads.com/city/columbus-oh/listings/323-e-18th-ave-16396
130,https://www.rentcollegepads.com/city/columbus-oh/listings/87-w-8th-ave-50248
131,https://www.rentcollegepads.com/city/columbus-oh/listings/2018-n-4th-st-16147
132,https://www.rentcollegepads.com/city/columbus-oh/listings/50-euclid-ave-32640
133,https://www.rentcollegepads.com/city/columbus-oh/listings/393-w-8th-ave-16553
134,https://www.rentcollegepads.com/city/columbus-oh/listings/39-51-chittenden-ave-49650
135,https://www.rentcollegepads.com/city/columbus-oh/listings/159-e-lane-ave-16102
136,https://www.rentcollegepads.com/city/columbus-oh/listings/1466-worthington-st-16185
137,https://www.rentcollegepads.com/city/columbus-oh/listings/1635-summit-st-32517
138,https://www.rentcollegepads.com/city/columbus-oh/listings/65-w-9th-ave-47598
139,https://www.rentcollegepads.com/city/columbus-oh/listings/102-106-w-norwich-ave-16219
140,https://www.rentcollegepads.com/city/columbus-oh/listings/267-e-15th-ave-41525
141,https://www.rentcollegepads.com/city/columbus-oh/listings/2253-neil-ave-32230
142,https://www.rentcollegepads.com/city/columbus-oh/listings/80-euclid-ave-32634
143,https://www.rentcollegepads.com/city/columbus-oh/listings/1534-1536-neil-ave-16085
144,https://www.rentcollegepads.com/city/columbus-oh/listings/230-232-w-9th-ave-16245
145,https://www.rentcollegepads.com/city/columbus-oh/listings/72-chittenden-ave-32050
146,https://www.rentcollegepads.com/city/columbus-oh/listings/52-e-woodruff-ave-47563
147,https://www.rentcollegepads.com/city/columbus-oh/listings/2232-n-high-st-47028
148,https://www.rentcollegepads.com/city/columbus-oh/listings/212-w-norwich-ave-47644
149,https://www.rentcollegepads.com/city/columbus-oh/listings/125-e-norwich-ave-50283
150,https://www.rentcollegepads.com/city/columbus-oh/listings/194-king-ave-44410
151,https://www.rentcollegepads.com/city/columbus-oh/listings/the-east-village-51731
152,https://www.rentcollegepads.com/city/columbus-oh/listings/2263-indianola-ave-47012
153,https://www.rentcollegepads.com/city/columbus-oh/listings/181-east-12th-avenue-16238
154,https://www.rentcollegepads.com/city/columbus-oh/listings/26-w-patterson-ave-16457
155,https://www.rentcollegepads.com/city/columbus-oh/listings/103-e-woodruff-ave-32546
156,https://www.rentcollegepads.com/city/columbus-oh/listings/225-e-11th-ave-32531
157,https://www.rentcollegepads.com/city/columbus-oh/listings/291-e-14th-ave-32484
158,https://www.rentcollegepads.com/city/columbus-oh/listings/115-e-12th-ave-32543
159,https://www.rentcollegepads.com/city/columbus-oh/listings/50-w-northwood-ave-16276
160,https://www.rentcollegepads.com/city/columbus-oh/listings/1366-indianola-ave-32713
161,https://www.rentcollegepads.com/city/columbus-oh/listings/75-77-w-10th-ave-16241
162,https://www.rentcollegepads.com/city/columbus-oh/listings/1373-summit-st-32676
163,https://www.rentcollegepads.com/city/columbus-oh/listings/1620-1636-indianola-ave-47625
164,https://www.rentcollegepads.com/city/columbus-oh/listings/1524-neil-ave-47572
165,https://www.rentcollegepads.com/city/columbus-oh/listings/278-e-14th-ave-32494
166,https://www.rentcollegepads.com/city/columbus-oh/listings/185-e-13th-ave-columbus-57263
167,https://www.rentcollegepads.com/city/columbus-oh/listings/1371-indianola-ave-32726
168,https://www.rentcollegepads.com/city/columbus-oh/listings/87-mcmillen-ave-47606
169,https://www.rentcollegepads.com/city/columbus-oh/listings/329-e-20th-ave-16401
170,https://www.rentcollegepads.com/city/columbus-oh/listings/140-e-11th-ave-32519
171,https://www.rentcollegepads.com/city/columbus-oh/listings/64-w-northwood-ave-32011
172,https://www.rentcollegepads.com/city/columbus-oh/listings/63-e-woodruff-ave-32428
173,https://www.rentcollegepads.com/city/columbus-oh/listings/88-92-e-norwich-ave-16200
174,https://www.rentcollegepads.com/city/columbus-oh/listings/56-e-oakland-ave-16414
175,https://www.rentcollegepads.com/city/columbus-oh/listings/5-euclid-ave-32525
176,https://www.rentcollegepads.com/city/columbus-oh/listings/85-w-3rd-ave-43346
177,https://www.rentcollegepads.com/city/columbus-oh/listings/59-e-norwich-ave-31704
178,https://www.rentcollegepads.com/city/columbus-oh/listings/320-e-17th-ave-32467
179,https://www.rentcollegepads.com/city/columbus-oh/listings/1701-1707-summit-st-16387
180,https://www.rentcollegepads.com/city/columbus-oh/listings/186-e-norwich-ave-32072
181,https://www.rentcollegepads.com/city/columbus-oh/listings/141-e.-13th-ave-69490
182,https://www.rentcollegepads.com/city/columbus-oh/listings/144-w-9th-ave-47568
183,https://www.rentcollegepads.com/city/columbus-oh/listings/2111-tuller-st-50237
184,https://www.rentcollegepads.com/city/columbus-oh/listings/1933-1935-n-4th-st-16148
185,https://www.rentcollegepads.com/city/columbus-oh/listings/88-90-w.-northwood-ave.-32245
186,https://www.rentcollegepads.com/city/columbus-oh/listings/52-euclid-ave-32639
187,https://www.rentcollegepads.com/city/columbus-oh/listings/164-e-norwich-ave-16208
188,https://www.rentcollegepads.com/city/columbus-oh/listings/75-w-9th-ave-47601
189,https://www.rentcollegepads.com/city/columbus-oh/listings/2567-indianola-ave-43409
190,https://www.rentcollegepads.com/city/columbus-oh/listings/226-w-8th-ave-43358
191,https://www.rentcollegepads.com/city/columbus-oh/listings/1320-highland-st-43441
192,https://www.rentcollegepads.com/city/columbus-oh/listings/94-e-18th-ave-47628
193,https://www.rentcollegepads.com/city/columbus-oh/listings/49-e-14th-ave-47608
194,https://www.rentcollegepads.com/city/columbus-oh/listings/191-e-13th-ave-51177
195,https://www.rentcollegepads.com/city/columbus-oh/listings/110-e-12th-ave-47664
196,https://www.rentcollegepads.com/city/columbus-oh/listings/159-165-w-northwood-ave-16081
197,https://www.rentcollegepads.com/city/columbus-oh/listings/154-e-norwich-ave-16103
198,https://www.rentcollegepads.com/city/columbus-oh/listings/66-w-norwich-ave-50307
199,https://www.rentcollegepads.com/city/columbus-oh/listings/132-e-12th-ave-16237
200,https://www.rentcollegepads.com/city/columbus-oh/listings/155-e-13th-ave-47663
201,https://www.rentcollegepads.com/city/columbus-oh/listings/42-44-w-8th-ave-columbus-oh-43201-47594
202,https://www.rentcollegepads.com/city/columbus-oh/listings/73-chittenden-ave-32431
203,https://www.rentcollegepads.com/city/columbus-oh/listings/84-e-9th-ave-32632
204,https://www.rentcollegepads.com/city/columbus-oh/listings/1445-worthington-st-16136
205,https://www.rentcollegepads.com/city/columbus-oh/listings/78-e-woodruff-ave-32404
206,https://www.rentcollegepads.com/city/columbus-oh/listings/1842-1844-n-4th-st-16467
207,https://www.rentcollegepads.com/city/columbus-oh/listings/97-mcmillen-ave-47607
208,https://www.rentcollegepads.com/city/columbus-oh/listings/111-w-hudson-st-16140
209,https://www.rentcollegepads.com/city/columbus-oh/listings/160-164-w-9th-ave-16451
210,https://www.rentcollegepads.com/city/columbus-oh/listings/308-e-14th-ave-32473
211,https://www.rentcollegepads.com/city/columbus-oh/listings/113-115-mcmillen-ave.columbus-oh-43201-47565
212,https://www.rentcollegepads.com/city/columbus-oh/listings/155-w-10th-ave-47643
213,https://www.rentcollegepads.com/city/columbus-oh/listings/the-urban-66296
214,https://www.rentcollegepads.com/city/columbus-oh/listings/183-193-w.-norwich-ave-50284
215,https://www.rentcollegepads.com/city/columbus-oh/listings/30-e-lane-ave-16052
216,https://www.rentcollegepads.com/city/columbus-oh/listings/1700-n-4th-st-16563
217,https://www.rentcollegepads.com/city/columbus-oh/listings/193-e-frambes-ave-32296
218,https://www.rentcollegepads.com/city/columbus-oh/listings/101-e-13th-ave-47658
219,https://www.rentcollegepads.com/city/columbus-oh/listings/316-318-w-7th-ave-46948
220,https://www.rentcollegepads.com/city/columbus-oh/listings/120-e-13th-ave-47613
221,https://www.rentcollegepads.com/city/columbus-oh/listings/104-w-lane-ave-16277
222,https://www.rentcollegepads.com/city/columbus-oh/listings/33-35-e.-patterson-19192
223,https://www.rentcollegepads.com/city/columbus-oh/listings/1683-summit-st-43446
224,https://www.rentcollegepads.com/city/columbus-oh/listings/47-frambes-ave-16228
225,https://www.rentcollegepads.com/city/columbus-oh/listings/the-commons-apartments-31685
226,https://www.rentcollegepads.com/city/columbus-oh/listings/1411-pennsylvania-ave-43355
227,https://www.rentcollegepads.com/city/columbus-oh/listings/109-east-12th-avenue-16236
228,https://www.rentcollegepads.com/city/columbus-oh/listings/62-e-woodruff-ave-32399
229,https://www.rentcollegepads.com/city/columbus-oh/listings/1528-1530-neil-ave-columbus-oh-43201-47573
230,https://www.rentcollegepads.com/city/columbus-oh/listings/269-e-15th-ave-19169
231,https://www.rentcollegepads.com/city/columbus-oh/listings/182-w-8th-ave-32653
232,https://www.rentcollegepads.com/city/columbus-oh/listings/2083-n-4th-st-16389
233,https://www.rentcollegepads.com/city/columbus-oh/listings/182-w-1st-54653
234,https://www.rentcollegepads.com/city/columbus-oh/listings/2262-n-high-st-16198
235,https://www.rentcollegepads.com/city/columbus-oh/listings/180-w-8th-ave-32656
236,https://www.rentcollegepads.com/city/columbus-oh/listings/1460-worthington-st-16187
237,https://www.rentcollegepads.com/city/columbus-oh/listings/2251-neil-ave-32231
238,https://www.rentcollegepads.com/city/columbus-oh/listings/305-43401
239,https://www.rentcollegepads.com/city/columbus-oh/listings/1446-1448-ashland-ave-16108
240,https://www.rentcollegepads.com/city/columbus-oh/listings/103-w-king-69804
241,https://www.rentcollegepads.com/city/columbus-oh/listings/98-e-12th-ave-54338
242,https://www.rentcollegepads.com/city/columbus-oh/listings/61-w-9th-ave-47597
243,https://www.rentcollegepads.com/city/columbus-oh/listings/1885-n-4th-st-16545
244,https://www.rentcollegepads.com/city/columbus-oh/listings/61-e-woodruff-ave-32440
245,https://www.rentcollegepads.com/city/columbus-oh/listings/170-w-5th-avencolumbus-54862
246,https://www.rentcollegepads.com/city/columbus-oh/listings/179-e-lane-ave-32362
247,https://www.rentcollegepads.com/city/columbus-oh/listings/maddens-pointe-32123
248,https://www.rentcollegepads.com/city/columbus-oh/listings/235-237-w-norwich-ave-16260
249,https://www.rentcollegepads.com/city/columbus-oh/listings/1524-indianola-ave-49646
250,https://www.rentcollegepads.com/city/columbus-oh/listings/123-king-ave-50232
251,https://www.rentcollegepads.com/city/columbus-oh/listings/1473-neil-ave-47571
252,https://www.rentcollegepads.com/city/columbus-oh/listings/119-e-13th-ave-32526
253,https://www.rentcollegepads.com/city/columbus-oh/listings/1668-n-4th-st-32550
254,https://www.rentcollegepads.com/city/columbus-oh/listings/215-217-e-maynard-ave-16170
255,https://www.rentcollegepads.com/city/columbus-oh/listings/243-e-19th-ave-47662
256,https://www.rentcollegepads.com/city/columbus-oh/listings/23.5-w.-10th-ave.columbus-oh-47618
257,https://www.rentcollegepads.com/city/columbus-oh/listings/1540-neil-ave-31679
258,https://www.rentcollegepads.com/city/columbus-oh/listings/185-e-lane-ave-32369
259,https://www.rentcollegepads.com/city/columbus-oh/listings/192-e-11th-ave-32648
260,https://www.rentcollegepads.com/city/columbus-oh/listings/2081-waldeck-ave-47629
261,https://www.rentcollegepads.com/city/columbus-oh/listings/1888-summit-st-32512
262,https://www.rentcollegepads.com/city/columbus-oh/listings/2159-waldeck-ave-50313
263,https://www.rentcollegepads.com/city/columbus-oh/listings/29-e-norwich-ave-16069
264,https://www.rentcollegepads.com/city/columbus-oh/listings/50-w-maynard-ave-58187
265,https://www.rentcollegepads.com/city/columbus-oh/listings/100-chittenden-ave-19171
266,https://www.rentcollegepads.com/city/columbus-oh/listings/20-26-w-maynard-ave-31719
267,https://www.rentcollegepads.com/city/columbus-oh/listings/304-e-13th-ave-51655
268,https://www.rentcollegepads.com/city/columbus-oh/listings/71-mcmillen-ave-50245
269,https://www.rentcollegepads.com/city/columbus-oh/listings/100-w-norwich-ave-31869
270,https://www.rentcollegepads.com/city/columbus-oh/listings/114-e-frambes-ave-51525
271,https://www.rentcollegepads.com/city/columbus-oh/listings/2500-2512-indianola-ave-16433
272,https://www.rentcollegepads.com/city/columbus-oh/listings/83-e-duncan-st-54584
273,https://www.rentcollegepads.com/city/columbus-oh/listings/235-e-16th-ave-16444
274,https://www.rentcollegepads.com/city/columbus-oh/listings/71-w-10th-ave-16130
275,https://www.rentcollegepads.com/city/columbus-oh/listings/38-e-17th-ave-32447
276,https://www.rentcollegepads.com/city/columbus-oh/listings/225-king-ave-16407
277,https://www.rentcollegepads.com/city/columbus-oh/listings/109-e-frambes-ave-47640
278,https://www.rentcollegepads.com/city/columbus-oh/listings/363-king-ave-47589
279,https://www.rentcollegepads.com/city/columbus-oh/listings/131-133-e-norwich-ave-50305
280,https://www.rentcollegepads.com/city/columbus-oh/listings/425-427-e-15th-ave-16133
281,https://www.rentcollegepads.com/city/columbus-oh/listings/92-frambes-ave-32402
282,https://www.rentcollegepads.com/city/columbus-oh/listings/229-king-ave-16424
283,https://www.rentcollegepads.com/city/columbus-oh/listings/289-e-14th-ave-32573
284,https://www.rentcollegepads.com/city/columbus-oh/listings/292-e-15th-ave-50241
285,https://www.rentcollegepads.com/city/columbus-oh/listings/375-e-15th-ave-columbus-oh-43201-67882
286,https://www.rentcollegepads.com/city/columbus-oh/listings/university-commons-49768
287,https://www.rentcollegepads.com/city/columbus-oh/listings/189-king-ave-47579
288,https://www.rentcollegepads.com/city/columbus-oh/listings/98-e-18th-ave-32569
289,https://www.rentcollegepads.com/city/columbus-oh/listings/33-n-grant-ave-47561
290,https://www.rentcollegepads.com/city/columbus-oh/listings/253-e-19th-ave-47624
291,https://www.rentcollegepads.com/city/columbus-oh/listings/67-chittenden-ave-50301
292,https://www.rentcollegepads.com/city/columbus-oh/listings/275-e-13th-ave-51726
293,https://www.rentcollegepads.com/city/columbus-oh/listings/166-e-frambes-ave-47642
294,https://www.rentcollegepads.com/city/columbus-oh/listings/47-e-12th-ave-47667
295,https://www.rentcollegepads.com/city/columbus-oh/listings/130-w-9th-ave-32378
296,https://www.rentcollegepads.com/city/columbus-oh/listings/100-e-frambes-ave-50280
297,https://www.rentcollegepads.com/city/columbus-oh/listings/55-e-norwich-ave-50288
298,https://www.rentcollegepads.com/city/columbus-oh/listings/105-chittenden-ave-16142
